Vardas              Pavarde             Egzaminas           Rezultatas          
Vardenis6735        Pavardenis6735      5                   5.27                
Vardenis6790        Pavardenis6790      5                   5.27                
Vardenis6879        Pavardenis6879      5                   5.27                
Vardenis7012        Pavardenis7012      5                   5.27                
Vardenis7194        Pavardenis7194      5                   5.27                
Vardenis7431        Pavardenis7431      5                   5.27                
Vardenis7930        Pavardenis7930      5                   5.27                
Vardenis8181        Pavardenis8181      5                   5.27                
Vardenis8294        Pavardenis8294      5                   5.27                
Vardenis8805        Pavardenis8805      5                   5.27                
Vardenis8856        Pavardenis8856      5                   5.27                
Vardenis8870        Pavardenis8870      5                   5.27                
Vardenis8959        Pavardenis8959      5                   5.27                
Vardenis8963        Pavardenis8963      5                   5.27                
Vardenis8978        Pavardenis8978      5                   5.27                
Vardenis9174        Pavardenis9174      5                   5.27                
Vardenis9523        Pavardenis9523      5                   5.27                
Vardenis9937        Pavardenis9937      5                   5.27                
Vardenis9984        Pavardenis9984      5                   5.27                
Vardenis4315        Pavardenis4315      6                   5.28                
Vardenis5356        Pavardenis5356      4                   5.28                
Vardenis6770        Pavardenis6770      6                   5.28                
Vardenis6957        Pavardenis6957      6                   5.28                
Vardenis7193        Pavardenis7193      6                   5.28                
Vardenis8109        Pavardenis8109      6                   5.28                
Vardenis8680        Pavardenis8680      6                   5.28                
Vardenis8774        Pavardenis8774      6                   5.28                
Vardenis9002        Pavardenis9002      6                   5.28                
Vardenis9335        Pavardenis9335      6                   5.28                
Vardenis9861        Pavardenis9861      6                   5.28                
Vardenis81          Pavardenis81        5                   5.29                
Vardenis476         Pavardenis476       5                   5.29                
Vardenis1265        Pavardenis1265      5                   5.29                
Vardenis1309        Pavardenis1309      5                   5.29                
Vardenis1665        Pavardenis1665      5                   5.29                
Vardenis2023        Pavardenis2023      5                   5.29                
Vardenis2343        Pavardenis2343      5                   5.29                
Vardenis2873        Pavardenis2873      5                   5.29                
Vardenis3942        Pavardenis3942      5                   5.29                
Vardenis4566        Pavardenis4566      5                   5.29                
Vardenis4935        Pavardenis4935      5                   5.29                
Vardenis5592        Pavardenis5592      5                   5.29                
Vardenis6151        Pavardenis6151      5                   5.29                
Vardenis6348        Pavardenis6348      5                   5.29                
Vardenis6673        Pavardenis6673      5                   5.29                
Vardenis6775        Pavardenis6775      5                   5.29                
Vardenis7382        Pavardenis7382      5                   5.29                
Vardenis8319        Pavardenis8319      5                   5.29                
Vardenis9794        Pavardenis9794      5                   5.29                
Vardenis9827        Pavardenis9827      5                   5.29                
Vardenis398         Pavardenis398       6                   5.31                
Vardenis946         Pavardenis946       6                   5.31                
Vardenis1183        Pavardenis1183      6                   5.31                
Vardenis3753        Pavardenis3753      6                   5.31                
Vardenis4307        Pavardenis4307      6                   5.31                
Vardenis4381        Pavardenis4381      6                   5.31                
Vardenis4698        Pavardenis4698      6                   5.31                
Vardenis7070        Pavardenis7070      4                   5.31                
Vardenis7415        Pavardenis7415      6                   5.31                
Vardenis8956        Pavardenis8956      6                   5.31                
Vardenis9443        Pavardenis9443      6                   5.31                
Vardenis257         Pavardenis257       5                   5.32                
Vardenis720         Pavardenis720       5                   5.32                
Vardenis799         Pavardenis799       5                   5.32                
Vardenis1098        Pavardenis1098      5                   5.32                
Vardenis1233        Pavardenis1233      5                   5.32                
Vardenis1296        Pavardenis1296      5                   5.32                
Vardenis1523        Pavardenis1523      5                   5.32                
Vardenis1766        Pavardenis1766      5                   5.32                
Vardenis1965        Pavardenis1965      5                   5.32                
Vardenis2258        Pavardenis2258      5                   5.32                
Vardenis2362        Pavardenis2362      5                   5.32                
Vardenis2661        Pavardenis2661      5                   5.32                
Vardenis2696        Pavardenis2696      5                   5.32                
Vardenis2922        Pavardenis2922      5                   5.32                
Vardenis3103        Pavardenis3103      5                   5.32                
Vardenis3355        Pavardenis3355      5                   5.32                
Vardenis5053        Pavardenis5053      5                   5.32                
Vardenis5188        Pavardenis5188      5                   5.32                
Vardenis5190        Pavardenis5190      5                   5.32                
Vardenis5780        Pavardenis5780      5                   5.32                
Vardenis6421        Pavardenis6421      5                   5.32                
Vardenis7122        Pavardenis7122      5                   5.32                
Vardenis7244        Pavardenis7244      5                   5.32                
Vardenis7816        Pavardenis7816      5                   5.32                
Vardenis7860        Pavardenis7860      5                   5.32                
Vardenis7928        Pavardenis7928      5                   5.32                
Vardenis8036        Pavardenis8036      5                   5.32                
Vardenis8274        Pavardenis8274      5                   5.32                
Vardenis9939        Pavardenis9939      5                   5.32                
Vardenis871         Pavardenis871       6                   5.33                
Vardenis2573        Pavardenis2573      4                   5.33                
Vardenis2659        Pavardenis2659      4                   5.33                
Vardenis2857        Pavardenis2857      6                   5.33                
Vardenis3756        Pavardenis3756      6                   5.33                
Vardenis4258        Pavardenis4258      6                   5.33                
Vardenis5455        Pavardenis5455      4                   5.33                
Vardenis7578        Pavardenis7578      4                   5.33                
Vardenis7954        Pavardenis7954      6                   5.33                
Vardenis8096        Pavardenis8096      6                   5.33                
